# Recordings of native speakers Wingman clones as Pocket TTS voices (see
# providers/pocket_tts_voices.py). 8 to 13 seconds each, 24 kHz mono, cut at
# pauses from the source and picked by how well their clones speak German
# (UTMOS, Parakeet word error rate; 2026-09-24). Credited in README.md too.
# file	name	language	gender	credit	description
de-marlene.flac	Marlene	de	Female	muede, reading Adventskalender 2011 for LibriVox, public domain: https://librivox.org/adventskalender-2011-by-various/	tief, gemächlich
de-kristine.flac	Kristine	de	Female	kristine, reading Sammlung kurzer deutscher Prosa 022 for LibriVox, public domain: https://librivox.org/sammlung-kurzer-deutscher-prosa-022-by-various/	mittlere Lage, gleichmäßig
de-eva.flac	Eva	de	Female	Eva K., reading Sammlung kurzer deutscher Prosa 049 for LibriVox, public domain: https://librivox.org/sammlung-kurzer-deutscher-prosa-by-various-3/	tief, gleichmäßig
de-lissy.flac	Lissy	de	Female	Lissy Schneider, reading Adventskalender 2019 for LibriVox, public domain: https://librivox.org/adventskalender-2019-by-various/	mittlere Lage, klar, gleichmäßig
de-ava.flac	Ava	de	Female	Availle, reading Adventskalender 2015 for LibriVox, public domain: https://librivox.org/adventskalender-2015-by-various/	mittlere Lage, ältere Dame, gemächlich
de-sonja.flac	Sonja	de	Female	Sonja, reading Adventskalender 2009 for LibriVox, public domain: https://librivox.org/adventskalender-2009-by-various/	mittlere Lage, weich
de-eden.flac	Eden	de	Female	Eden, reading Sammlung kurzer deutscher Prosa 029 for LibriVox, public domain: https://librivox.org/sammlung-kurzer-deutscher-prosa-029-by-various/	hell, klar, gleichmäßig
de-elisa.flac	Elisa	de	Female	Elisa, reading Sammlung kurzer deutscher Prosa 052 for LibriVox, public domain: https://librivox.org/sammlung-kurzer-deutscher-prosa-052-by-various/	hell, jung, klar, gleichmäßig
de-wolfgang.flac	Wolfgang	de	Male	Wolfgang, reading Sammlung kurzer deutscher Prosa 019 for LibriVox, public domain: https://librivox.org/sammlung-kurzer-deutscher-prosa-019-by-various/	hell, ausgewogen
de-ibrahim.flac	Ibrahim	de	Male	A. Ibrahim, reading Sammlung kurzer deutscher Prosa 028 for LibriVox, public domain: https://librivox.org/sammlung-kurzer-deutscher-prosa-028-by-various/	hell, klar
de-johannes.flac	Johannes	de	Male	Johannes Bergmann, reading Sammlung kurzer deutscher Prosa 037 for LibriVox, public domain: https://librivox.org/sammlung-kurzer-deutscher-prosa-037-by-various/	mittlere Lage, lebhaft, zügig
de-tim.flac	Tim	de	Male	Tim Schöndorfer, reading Sammlung kurzer deutscher Prosa 021 for LibriVox, public domain: https://librivox.org/sammlung-kurzer-deutscher-prosa-021-by-various/	tief, klar
de-boris.flac	Boris	de	Male	Boris, reading Adventskalender 2018 for LibriVox, public domain: https://librivox.org/adventskalender-2018-by-various/	mittlere Lage, ausgewogen
de-oliver.flac	Oliver	de	Male	LordOider, reading Adventskalender 2014 for LibriVox, public domain: https://librivox.org/adventskalender-2014-by-various/	tief, weich
de-malte.flac	Malte	de	Male	mahne, reading Adventskalender 2015 for LibriVox, public domain: https://librivox.org/adventskalender-2015-by-various/	hell, ausgewogen
de-magnus.flac	Magnus	de	Male	Magnus, reading Sammlung kurzer deutscher Prosa 060 for LibriVox, public domain: https://librivox.org/sammlung-kurzer-deutscher-prosa-060-by-various/	mittlere Lage, weich, gleichmäßig
de-joachim.flac	Joachim	de	Male	yehoash, reading Sammlung kurzer deutscher Prosa 006 for LibriVox, public domain: https://librivox.org/sammlung-kurzer-deutschsprachiger-texte-006-by-various/	mittlere Lage, sehr lebhaft
de-fynn.flac	Fynn	de	Male	McFly, reading Sammlung kurzer deutscher Prosa 014 for LibriVox, public domain: https://librivox.org/sammlung-kurzer-deutscher-prosa-014-by-various/	tief, ausgewogen
